review_file_id,comments,score
729.json,strengths the authors propose a kernel based method that captures high order patterns differentiting different types of rumors by evaluating the similarities between their propagation tree structures weaknesses maybe the maths is not always clear in sect general discussion the authors propose a propagation tree kernel a kernel based method that captures high order patterns differentiating types of rumors by evaluating the similarities between their propagation tree structures the proposed approach detects rumors more quickly and with a higher accuracy compared to the one obtained by the state of the art methods the data set should be made public for research purposes typos need to be fixed e g any subgraph which have has tpk ptk table show s missing information needs to be added where was it published information needs to be in the same format e g vs figure is a bit small,4.0
338.json,strengths the related work is quite thorough and the comparison with the approach presented in this paper makes the hypothesis of the paper stronger the evaluation section is also extensive and thus the experiments are convincing weaknesses in section it is not clear what is exactly the dataset that you used for training the svm and your own model furthermore you only give the starting date for collecting the testing data but there is no other information related to the size of the dataset or the time frame when the data was collected this might also give some insight for the results and statistics given in section in table we can see that the number of reviewers is only slightly lower than the number of reviews posted at least for hotels which means that only a few reviewers posted more than one review in the labeled dataset how does this compare with the full dataset in table what is the exact number of reviewers in table to know what is the percentage of labeled reviewers it is also interesting to know how many reviews are made by one person on average if there are only a few reviewers that post more than one review i e not that much info to learn from the results would benefit from a thorough discussion general discussion this paper focuses on identifying spam reviews under the assumption that we deal with a cold start problem i e we do not have enough information to draw a conclusion the paper proposes a neural network model that learns how to represent new reviews by jointly using embedded textual information and behaviour information overall the paper is very well written and the results are compelling typos and or grammar the new reviewer only provide us jindal and liu make the first step the work is quite old you could use past tense to refer to it usage of short form can t couldn t what s instead of the prefered long form the following sentence is not clear and should be rephrased the new reviewer just posted one review and we have to filter it out immediately there is not any historical reviews provided to us,4.0
343.json,strengths i well organized and easy to understand ii provides detailed comparisons under various experimental settings and shows the state of the art performances weaknesses i in experiments this paper compares previous supervised approaches but the proposed method is the semi supervised approach even if the training data is enough to train general discussion this paper adopts a pre training approach to improve chinese word segmentation based on the transition based neural word segmentation this paper aims to pre train incoming characters with external resources punctuation soft segmentation pos and heterogeneous training data through multi task learning that is this paper casts each external source as an auxiliary classification task the experimental results show that the proposed method achieves the state of the art performances in six out of seven datasets this paper is well written and easy to understand a number of experiments prove the effectiveness of the proposed method however there exist an issue in this paper the proposed method is a semi supervised learning that uses external resources to pre train the characters furthermore this paper uses another heterogeneous training datasets even if it uses the datasets only for pre training nevertheless the baselines in the experiments are based on supervised learning in general the performance of semi supervised learning is better than that of supervised learning because semi supervised learning makes use of plentiful auxiliary information in the experiments this paper should have compared the proposed method with semi supervised approaches post author response what the reviewer concerned is that this paper used additional gold labeled dataset to pretrain the character embeddings some baselines in the experiments used label information where the labels are predicted automatically by their base models as the authors pointed out when insisting superiority of a method all circumstances should be same thus even if the gold dataset isn t used to train the segmentation model directly it seems to me that it is an unfair comparison because the proposed method used another gold dataset to train the character embeddings,3.0
752.json,strengths the paper demonstrates that seqseq models can be comparatively effectively applied to the tasks of amr parsing and amr realization by linearization of an engineered pre processed version of the amr graph and associated sentence combined with paired training iterative back translation of monolingual data combined with fine tuning while parsing performance is worse than other reported papers e g pust et al those papers used additional semantic information on the task of amr realization the paper demonstrates that utilizing additional monolingual data via back translation is effective relative to a seqseq model that does not use such information see note below about comparing realization results to previous non seqseq work for the realization task weaknesses at a high level the main weakness is that the paper aims for empirical comparisons but in comparing to other work multiple aspects dimensions are changing at the same time in some cases not comparable due to access to different information complicating comparisons for example with the realization results table pbmt pourdamghani et al is apparently trained on ldct which consists of sentences compared to the model of the paper which is trained on ldce which consists of sentences according to http amr isi edu download html this is used in making the claim of over points improvement over the state of the art pbmt in line and line and is only qualified in the caption of table to make a valid comparison the approach of the paper or pbmt needs to be re evaluated after using the same training data general discussion is there any overlap between the sentences in your gigaword sample and the test sentences of ldce apparently ldce contains data from the proxy report data in ldc deft narrative text source data r corpus ldce accessible with ldc account https catalog ldc upenn edu ldce it seems ldce contains data from gigaword https catalog ldc upenn edu ldce apparently amr corpus ldct also contained would ata from newswire articles selected from the english gigaword corpus fifth edition publicly accessible link https catalog ldc upenn edu docs ldct readme txt please check that there is no test set contamination line did these two modifications to the encoder make a significant difference in effectiveness what was the motivation behind these changes please make it clear in an appendix is fine for replication purposes whether the implementation is based on an existing seqseq framework line what was the final sequence length used consider adding such details in an appendix please label the columns of table presumably dev and test also there is a mismatch between table and the text table summarizes our development results for different rounds of self training it appears that only the results of the second round of self training are shown again the columns for table are not labeled but should the results for column for camr instead be the last line of table in http www aclweb org anthology s which is the configuration for verb rne srl wiki it looks like the second from last row of table in camr wang et al is currently being used on this note how does your approach handle the wikification information introduced in ldce stochastic is missing a reference to the example line this seems like a hypothesis to be tested empirically rather than a forgone conclusion as implied here given an extra page please add a concluding section how are you performing decoding are you using beam search as a follow up to line it does not appear that the actual vocabulary size used in the experiments is mentioned after preprocessing are there any remaining unseen tokens in dev test in other words is the unknown word replacement mechanism using the attention weights as described in section ever used for the realization case study it would be of interest to see performance on phenomena that are known limitations of amr such as quantification and tense https github com amrisi amr guidelines blob master amr md the paper would benefit from a brief discussion perhaps a couple sentences motivating the use of amr as opposed to other semantic formalisms as well as why the human annotated amr information signal might be useful as opposed to learning a model e g seqseq itself directly for a task e g machine translation for future work not taken directly into account in the scores given here for the review since the applicable paper is not yet formally published in the eacl proceedings for parsing what accounts for the difference from previous seqseq approaches namely between peng and xue and amr only as in table is the difference in effectiveness being driven by the architecture the preprocessing linearization data or some combination thereof consider isolating this difference incidentally the citation for peng and xue addressing the data sparsity issue in neural amr parsing should apparently be peng et al http eacl org index php program accepted papers https arxiv org pdf pdf the authors are flipped in the references section proofreading not necessarily in the order of occurrence note that these are provided for reference and did not influence my scoring of the paper outperform state of the art outperform the state of the art zhou et al extend zhou et al extend puzikov et al puzikov et al pos based features that pos based features that language pairs by creating language pairs by creating using a back translation mt system and mix it with the human translations using a back translation mt system and mix it with the human translations probbank style palmer et al propbank style palmer et al independent parameters independent parameters for the of tokens for of tokens maintaining same embedding sizes maintaining the same embedding sizes table similar table similar realizer the realizer the notation line the sets c and w are defined but never subsequently referenced however w could should be used in place of nl in line if they are referring to the same vocabulary,4.0
752.json,the authors use self training to train a seqseq based amr parser using a small annotated corpus and large amounts of unlabeled data they then train a similar seqseq based amr to text generator using the annotated corpus and automatic amrs produced by their parser from the unlabeled data they use careful delexicalization for named entities in both tasks to avoid data sparsity this is the first sucessful application of seqseq models to amr parsing and generation and for generation it most probably improves upon state of the art in general i really liked the approach as well as the experiments and the final performance analysis the methods used are not revolutionary but they are cleverly combined to achieve practial results the description of the approach is quite detailed and i believe that it is possible to reproduce the experiments without significant problems the approach still requires some handcrafting but i believe that this can be overcome in the future and that the authors are taking a good direction resolved by authors response however i have been made aware by another reviewer of a data overlap in the gigaword and the semeval dataset this is potentially a very serious problem if there is a significant overlap in the test set this would invalidate the results for generation which are the main achievemnt of the paper unless the authors made sure that no test set sentences made their way to training through gigaword i cannot accept their results resolved by authors response another question raised by another reviewer which i fully agree with is the point claim when comparing to a system tested on an earlier version of the amr dataset the paper could probably still claim improvement over state of the art but i am not sure i can accept the points claim in a direct comparison to pourdamghani et al why have not the authors also tested their system on the older dataset version or obtained pourdamghani et al scores for the newer version otherwise i just have two minor comments to experiments statistical significance tests would be advisable even if the performance difference is very big for generation the linearization order experiment should be repeated with several times with different random seeds to overcome the bias of the particular random order chosen the form of the paper definitely could be improved the paper is very dense at some points and proofreading by an independent person preferably an english native speaker would be advisable the model especially the improvements over luong et al could be explained in more detail consider adding a figure the experiment description is missing the vocabulary size used most importantly i missed a formal conclusion very much the paper ends abruptly after qualitative results are described and it does not give a final overview of the work or future work notes minor factual notes make it clear that you use the jamr aligner not the whole parser at also do you not use the recorded mappings also when testing the parser your non gigaword model only improves on other seqseq models by f points not at voters in figure should be person arg of vote in amr minor writing notes try rewording and simplifying text near inter sentitial punctuation is sometimes confusing and does not correspond to my experience with english syntax there are lots of excessive as well as missing commas there are a few typos e g some footnotes are missing full stops the linearization description is redundant at and could just refer to sect when refering to the algorithm or figures e g near enclose the references in brackets rather than commas i think it would be nice to provide a reference for amr itself and for the multi bleu script also mention that you remove amr variables in footnote consider renaming sect to linearization evaluation the order in tables and seems a bit confusing to me especially when your systems are not explicitly marked i would expect your systems at the bottom also table apparently lists development set scores even though its description says otherwise the labels in table are a bit confusing when you read the table before reading the text in figure it not entirely visible that you distinguish month names from month numbers as you state at bibliography lacks proper capitalization in paper titles abbreviations and proper names should be capitalized use curly braces to prevent bibtex from lowercasing everything the peng and xue citation is listed improperly there are actually four authors summary the paper presents first competitive results for neural amr parsing and probably new state of the art for amr generation using seqseq models with clever preprocessing and exploiting large a unlabelled corpus even though revisions to the text are advisable i liked the paper and would like to see it at the conference resolved by authors response however i am not sure if the comparison with previous state of the art on generation is entirely sound and most importantly whether the good results are not actually caused by data overlap of gigaword additional training set with the test set comments after the authors response i thank the authors for addressing both of the major problems i had with the paper i am happy with their explanation and i raised my scores assuming that the authors will reflect our discussion in the final paper,4.0
494.json,strengths nice clear application of linguistics ideas to distributional semantics demonstrate very clear improvements on both intrinsic and extrinsic eval weaknesses fairly straightforward extension of existing retrofitting work would be nice to see some additional baselines e g character embeddings general discussion the paper describes morph fitting a type of retrofitting for vector spaces that focuses specifically on incorporating morphological constraints into the vector space the framework is based on the idea of attract and repel constraints where attract constraints are used to pull morphological variations close together e g look looking and repel constraints are used to push derivational antonyms apart e g responsible irresponsible they test their algorithm on multiple different vector spaces and several language and show consistent improvements on intrinsic evaluation simlex and simverb they also test on the extrinsic task of dialogue state tracking and again demonstrate measurable improvements over using morphologically unaware word embeddings i think this is a very nice paper it is a simple and clean way to incorporate linguistic knowledge into distributional models of semantics and the empirical results are very convincing i have some questions comments below but nothing that i feel should prevent it from being published comments for authors i do not really understand the need for the morph simlex evaluation set it seems a bit suspect to create a dataset using the same algorithm that you ultimately aim to evaluate it seems to me a no brainer that your model will do well on a dataset that was constructed by making the same assumptions the model makes i do not think you need to include this dataset at all since it is a potentially erroneous evaluation that can cause confusion and your results are convincing enough on the standard datasets i really liked the morph fix baseline thank you for including that i would have liked to see a baseline based on character embeddings since this seems to be the most fashionable way currently to side step dealing with morphological variation you mentioned it in the related work but it would be better to actually compare against it empirically ideally we would have a vector space where morphological variants are just close together but where we can assign specific semantics to the different inflections do you have any evidence that the geometry of the space you end with is meaningful e g does looking look walk walking it would be nice to have some analysis that suggests the morphfitting results in a more meaningful space not just better embeddings,4.0
494.json,the authors propose morph fitting a method that retrofits any given set of trained word embeddings based on a morphologically driven objective that pulls inflectional forms of the same word together as in slow and slowing and pushes derivational antonyms apart as in expensive and inexpensive with this the authors aim to improve the representation of low frequency inflections of words as well as mitigate the tendency of corpus based word embeddings to assign similar representations to antonyms the method is based on relatively simple manually constructed morphological rules and is demonstrated on both english german italian and russian the experiments include intrinsic word similarity benchmarks showing notable performance improvements achieved by applying morph fitting to several different corpus based embeddings performance improvement yielding new state of the art results is also demonstrated for german and italian on an extrinsic task dialog state tracking strengths the proposed method is simple and shows nice performance improvements across a number of evaluations and in several languages compared to previous knowledge based retrofitting approaches faruqui et al it relies on a few manually constructed rules instead of a large scale knowledge base such as an ontology like previous retrofitting approaches this method is easy to apply to existing sets of embeddings and therefore it seems like the software that the authors intend to release could be useful to the community the method and experiments are clearly described weaknesses i was hoping to see some analysis of why the morph fitted embeddings worked better in the evaluation and how well that corresponds with the intuitive motivation of the authors the authors introduce a synthetic word similarity evaluation dataset morph simlex they create it by applying their presumably semantic meaning preserving morphological rules to simlex to generate many more pairs with morphological variability they do not manually annotate these new pairs but rather use the original similarity judgements from simlex the obvious caveat with this dataset is that the similarity scores are presumed and therefore less reliable furthermore the fact that this dataset was generated by the very same rules that are used in this work to morph fit word embeddings means that the results reported on this dataset in this work should be taken with a grain of salt the authors should clearly state this in their paper soricut and och is mentioned as a future source for morphological knowledge but in fact it is also an alternative approach to the one proposed in this paper for generating morphologically aware word representations the authors should present it as such and differentiate their work the evaluation does not include strong morphologically informed embedding baselines general discussion with the few exceptions noted i like this work and i think it represents a nice contribution to the community the authors presented a simple approach and showed that it can yield nice improvements using various common embeddings on several evaluations and four different languages i d be happy to see it in the conference minor comments line i found this phrasing unclear we then query of linguistic constraints section i suggest to elaborate a little more on what the delta is between the model used in this paper and the one it is based on in wieting it seemed to me that this was mostly the addition of the repel part line the method s cost function consists of three terms i suggest to spell this out in an equation line x and t in this equation and following ones are the vector representations of the words i suggest to denote that somehow also are the vectors l normalized before this process also when computing nearest neighbor examples do you use cosine or dot product please share these details line i suggest to move this text to section and make the note that you did not fine tune the params in the main text and not in a footnote line create creates seems like a wrong example for that rule i have read the author response,4.0
375.json,this paper addresses the network embedding problem by introducing a neural network model which uses both the network structure and associated text on the nodes with an attention model to vary the textual representation based on the text of the neighboring nodes strengths the model leverages both the network and the text to construct the latent representations and the mutual attention approach seems sensible a relatively thorough evaluation is provided with multiple datasets baselines and evaluation tasks weaknesses like many other papers in the network embedding literature which use neural network techniques inspired by word embeddings to construct latent representations of nodes in a network the previous line of work on statistical probabilistic modeling of networks is ignored in particular all network embedding papers need to start citing and comparing to the work on the latent space model of peter hoff et al and subsequent papers in both statistical and probabilistic machine learning publication venues p d hoff a e raftery and m s handcock latent space approaches to social network analysis j amer statist assoc this latent space network model which embeds each node into a low dimensional latent space was written as far back as and so it far pre dates neural network based network embeddings given that the aim of this paper is to model differing representations of social network actors different roles it should really cite and compare to the mixed membership stochastic blockmodel mmsb airoldi e m blei d m fienberg s e xing e p mixed membership stochastic blockmodels journal of machine learning research the mmsb allows each node to randomly select a different role when deciding whether to form each edge general discussion the aforementioned statistical models do not leverage text and they do not use scalable neural network implementations based on negative sampling but they are based on well principled generative models instead of heuristic neural network objective functions and algorithms there are more recent extensions of these models and inference algorithms which are more scalable and which do leverage text is the difference in performance between cene and cane in figure statistically insignificant a related question were the experiments repeated more than once with random train test splits were the grid searches for hyperparameter values mentioned in section performed with evaluation on the test set which would be problematic or on a validation set or on the training set,4.0
16.json,strengths this paper tries to use the information from arguments which is usually ignored yet actually quite important to improve the performance of event detection the framework is clear and simple with the help of the supervised attention mechanism an important method that has been used in many tasks such as machine translation the performance of their system outperforms the baseline significantly weaknesses the attention vector is simply the summation of two attention vectors of each part maybe the attention vector could be calculated in a more appropriate approach for the supervised attention mechanism two strategies are proposed both of them are quite straightforward some more complicated strategies can work better and can be tried general discussion although there are some places that can be improved this paper proposed a quite effective framework and the performance is good the experiment is solid it can be considered to be accepted,4.0
288.json,strengths the paper is very well written it shows how stylometric analysis can help in reasoning like text classification the results have important implications for design on nlp datasets the results may have important implications for many text classification tasks weaknesses i see few weaknesses in this paper the only true one is the absence of a definition of style which is a key concept in the paper general discussion this paper describes two experiments that explore the relationship between writing task and writing style in particular controlling for vocabulary and topic the authors show that features used in authorship attribution style analysis can go a long way towards distinguishing between a natural ending of a story an ending added by a different author and a purposefully incoherent ending added by a different author this is a great and fun paper to read and it definitely merits being accepted the paper is lucidly written and clearly explains what was done and why the authors use well known simple features and a simple classifier to prove a non obvious hypothesis intuitively it is obvious that a writing task greatly constraints style however proven in such a clear manner in such a controlled setting the findings are impressive i particularly like section and the discussion about the implications on design of nlp tasks i think this will be an influential and very well cited paper great work the paper is a very good one as is one minor suggestion i have is defining what the authors mean by style early on the authors seem to mean a set of low level easily computable lexical and syntactic features as is the usage is somewhat misleading for anyone outside of computational stylometrics the set of chosen stylistic features makes sense however were there no other options were other features tried and they did not work i think a short discussion of the choice of features would be informative,5.0
