review_file_id,comments,score
729.json,strength propose kernel based method capture high order pattern differentiting different type rumor evaluating similarity propagation tree structure weakness maybe math always clear sect general discussion propose propagation tree kernel kernel based method capture high order pattern differentiating type rumor evaluating similarity propagation tree structure proposed approach detects rumor quickly higher accuracy compared obtained state method data made public research purpose typo need fixed subgraph table show missing information need added published information need format figure small,3
338.json,strength related work quite thorough comparison approach presented make hypothesis stronger evaluation section also extensive thus experiment convincing weakness section clear exactly dataset used training furthermore give starting date collecting testing data information related size dataset time frame data collected might also give insight statistic given section table number reviewer slightly lower number review posted least hotel mean reviewer posted review labeled dataset compare full dataset table exact number reviewer table know percentage labeled reviewer also interesting know many review made person average reviewer post review much info learn benefit thorough discussion general discussion focus identifying spam review assumption deal cold start problem enough information draw conclusion proposes neural network learns represent review jointly using embedded textual information behaviour information overall well written compelling typo grammar reviewer provide jindal make first step work quite could past tense refer usage short form instead prefered long form following sentence clear rephrased reviewer posted review filter immediately historical review provided,3
343.json,strength well organized easy understand provides detailed comparison various experimental setting show state performance weakness experiment compare previous supervised approach proposed method semi supervised approach even training data enough train general discussion adopts training approach improve chinese word segmentation based transition based neural word segmentation aim train incoming character external resource punctuation soft segmentation heterogeneous training data multi task learning cast external source auxiliary classification task experimental show proposed method achieves state performance seven datasets well written easy understand number experiment prove effectiveness proposed method however exist issue proposed method semi supervised learning us external resource train character furthermore us another heterogeneous training datasets even us datasets training nevertheless baseline experiment based supervised learning general performance semi supervised learning better supervised learning semi supervised learning make plentiful auxiliary information experiment compared proposed method semi supervised approach post author response reviewer concerned used additional gold labeled dataset pretrain character embeddings baseline experiment used label information label predicted automatically base model pointed insisting superiority method circumstance thus even gold dataset used train segmentation directly seems unfair comparison proposed method used another gold dataset train character embeddings,2
752.json,strength demonstrates seqseq model comparatively effectively applied task parsing realization linearization engineered processed version graph associated sentence combined paired training iterative back translation monolingual data combined fine tuning parsing performance worse reported paper pust paper used additional semantic information task realization demonstrates utilizing additional monolingual data back translation effective relative seqseq information note comparing realization previous seqseq work realization task weakness high level main weakness aim empirical comparison comparing work multiple aspect dimension changing time case comparable access different information complicating comparison example realization table pbmt pourdamghani apparently trained ldct consists sentence compared trained ldce consists sentence according http download html used making claim point improvement state pbmt line line qualified caption table make valid comparison approach pbmt need evaluated using training data general discussion overlap sentence gigaword sample test sentence ldce apparently ldce contains data proxy report data deft narrative text source data corpus ldce accessible account http catalog upenn ldce seems ldce contains data gigaword http catalog upenn ldce apparently corpus ldct also contained newswire article selected english gigaword corpus fifth edition publicly accessible link http catalog upenn doc ldct readme please check test contamination line modification encoder make significant difference effectiveness motivation behind change please make clear appendix fine replication purpose whether implementation based existing seqseq framework line final sequence length used consider adding detail appendix please label column table presumably test also mismatch table text table summarizes development different round self training appears second round self training shown column table labeled column camr instead last line table http aclweb anthology configuration verb wiki look like second last table camr wang currently used note approach handle wikification information introduced ldce stochastic missing reference example line seems like hypothesis tested empirically rather forgone conclusion implied given extra page please concluding section performing decoding using beam search follow line appear actual vocabulary size used experiment mentioned preprocessing remaining unseen token test word unknown word replacement mechanism using attention weight described section ever used realization case study interest performance phenomenon known limitation quantification tense http github amrisi guideline blob master benefit brief discussion perhaps couple sentence motivating opposed semantic formalism well human annotated information signal might useful opposed learning seqseq directly task machine translation future work taken directly account score given review since applicable formally published eacl proceeding parsing account difference previous seqseq approach namely peng table difference effectiveness driven architecture preprocessing linearization data combination thereof consider isolating difference incidentally citation peng addressing data sparsity issue neural parsing apparently peng http eacl index program accepted paper http arxiv flipped reference section proofreading necessarily order occurrence note provided reference influence scoring outperform state outperform state zhou extend zhou extend puzikov puzikov based feature based feature language pair creating language pair creating using back translation system human translation using back translation system human translation probbank style palmer propbank style palmer independent parameter independent parameter token token maintaining embedding size maintaining embedding size table similar table similar realizer realizer notation line set defined never subsequently referenced however could used place line referring vocabulary,3
752.json,self training train seqseq based parser using small annotated corpus large amount unlabeled data train similar seqseq based text generator using annotated corpus automatic amrs produced parser unlabeled data careful delexicalization named entity task avoid data sparsity first sucessful application seqseq model parsing generation generation probably improves upon state general really liked approach well experiment final performance analysis method used revolutionary cleverly combined achieve practial description approach quite detailed believe possible reproduce experiment without significant problem approach still requires handcrafting believe overcome future taking good direction resolved response however made aware another reviewer data overlap gigaword semeval dataset potentially serious problem significant overlap test invalidate generation main achievemnt unless made sure test sentence made training gigaword cannot accept resolved response another question raised another reviewer fully agree point claim comparing system tested earlier version dataset could probably still claim improvement state sure accept point claim direct comparison pourdamghani also tested system older dataset version obtained pourdamghani score newer version otherwise minor comment experiment statistical significance test advisable even performance difference generation linearization order experiment repeated several time different random seed overcome bias particular random order chosen form definitely could improved dense point proofreading independent person preferably english native speaker advisable especially improvement luong could explained detail consider adding figure experiment description missing vocabulary size used importantly missed formal conclusion much end abruptly qualitative described give final overview work future work note minor factual note make clear jamr aligner whole parser also recorded mapping also testing parser gigaword improves seqseq model point voter figure person vote minor writing note rewording simplifying text near inter sentitial punctuation sometimes confusing correspond experience english syntax lot excessive well missing comma typo footnote missing full stop linearization description redundant could refer sect refering algorithm figure near enclose reference bracket rather comma think nice provide reference multi bleu script also mention remove variable footnote consider renaming sect linearization evaluation order table seems confusing especially system explicitly marked expect system bottom also table apparently list development score even though description say otherwise label table confusing read table reading text figure entirely visible distinguish month name month number state bibliography lack proper capitalization title abbreviation proper name capitalized curly brace prevent bibtex lowercasing everything peng citation listed improperly actually four summary present first competitive neural parsing probably state generation using seqseq model clever preprocessing exploiting large unlabelled corpus even though revision text advisable liked like conference resolved response however sure comparison previous state generation entirely sound importantly whether good actually caused data overlap gigaword additional training test comment response thank addressing major problem happy explanation raised score assuming reflect discussion final,3
494.json,strength nice clear application linguistics idea distributional semantics demonstrate clear improvement intrinsic extrinsic eval weakness fairly straightforward extension existing retrofitting work nice additional baseline character embeddings general discussion describes morph fitting type retrofitting vector space focus specifically incorporating morphological constraint vector space framework based idea attract repel constraint attract constraint used pull morphological variation close together look looking repel constraint used push derivational antonym apart responsible irresponsible test algorithm multiple different vector space several language show consistent improvement intrinsic evaluation simlex simverb also test extrinsic task dialogue state tracking demonstrate measurable improvement using morphologically unaware word embeddings think nice simple clean incorporate linguistic knowledge distributional model semantics empirical convincing question comment nothing feel prevent published comment really understand need morph simlex evaluation seems suspect create dataset using algorithm ultimately evaluate seems brainer well dataset constructed making assumption make think need include dataset since potentially erroneous evaluation cause confusion convincing enough standard datasets really liked morph baseline thank including liked baseline based character embeddings since seems fashionable currently side step dealing morphological variation mentioned related work better actually compare empirically ideally vector space morphological variant close together assign specific semantics different inflection evidence geometry space meaningful looking look walk walking nice analysis suggests meaningful space better embeddings,3
494.json,propose morph fitting method retrofit given trained word embeddings based morphologically driven objective pull inflectional form word together slow slowing push derivational antonym apart expensive inexpensive improve representation frequency inflection word well mitigate tendency corpus based word embeddings assign similar representation antonym method based relatively simple manually constructed morphological rule demonstrated english german italian russian experiment include intrinsic word similarity benchmark showing notable performance improvement achieved applying morph fitting several different corpus based embeddings performance improvement yielding state also demonstrated german italian extrinsic task dialog state tracking strength proposed method simple show nice performance improvement across number evaluation several language compared previous knowledge based retrofitting approach faruqui relies manually constructed rule instead large scale knowledge base ontology like previous retrofitting approach method easy apply existing set embeddings therefore seems like software intend release could useful community method experiment clearly described weakness hoping analysis morph fitted embeddings worked better evaluation well corresponds intuitive motivation introduce synthetic word similarity evaluation dataset morph simlex create applying presumably semantic meaning preserving morphological rule simlex generate many pair morphological variability manually annotate pair rather original similarity judgement simlex obvious caveat dataset similarity score presumed therefore le reliable furthermore fact dataset generated rule used work morph word embeddings mean reported dataset work taken grain salt clearly state soricut mentioned future source morphological knowledge fact also alternative approach proposed generating morphologically aware word representation present differentiate work evaluation include strong morphologically informed embedding baseline general discussion exception noted like work think represents nice contribution community presented simple approach showed yield nice improvement using various common embeddings several evaluation four different language happy conference minor comment line found phrasing unclear query linguistic constraint section suggest elaborate little delta used based wieting seemed mostly addition repel part line method cost function consists three term suggest spell equation line equation following one vector representation word suggest denote somehow also vector normalized process also computing nearest neighbor example cosine product please share detail line suggest move text section make note fine tune params main text footnote line create creates seems like wrong example rule read author response,3
375.json,address network embedding problem introducing neural network us network structure associated text node attention vary textual representation based text neighboring node strength leverage network text construct latent representation mutual attention approach seems sensible relatively thorough evaluation provided multiple datasets baseline evaluation task weakness like many paper network embedding literature neural network technique inspired word embeddings construct latent representation node network previous line work statistical probabilistic modeling network ignored particular network embedding paper need start citing comparing work latent space peter hoff subsequent paper statistical probabilistic machine learning publication venue hoff raftery handcock latent space approach social network analysis amer statist assoc latent space network embeds node dimensional latent space written back date neural network based network embeddings given differing representation social network actor different role really cite compare mixed membership stochastic blockmodel mmsb airoldi blei fienberg xing mixed membership stochastic blockmodels journal machine learning research mmsb allows node randomly select different role deciding whether form edge general discussion aforementioned statistical model leverage text scalable neural network implementation based negative sampling based well principled generative model instead heuristic neural network objective function algorithm recent extension model inference algorithm scalable leverage text difference performance cene cane figure statistically insignificant related question experiment repeated random train test split grid search hyperparameter value mentioned section performed evaluation test problematic validation training,3
16.json,strength try information argument usually ignored actually quite important improve performance event detection framework clear simple help supervised attention mechanism important method used many task machine translation performance system outperforms baseline significantly weakness attention vector simply summation attention vector part maybe attention vector could calculated appropriate approach supervised attention mechanism strategy proposed quite straightforward complicated strategy work better tried general discussion although place improved proposed quite effective framework performance good experiment solid considered accepted,3
288.json,strength well written show stylometric analysis help reasoning like text classification important implication design datasets important implication many text classification task weakness weakness true absence definition style concept general discussion describes experiment explore relationship writing task writing style particular controlling vocabulary topic show feature used authorship attribution style analysis long towards distinguishing natural ending story ending added different author purposefully incoherent ending added different author great read definitely merit accepted lucidly written clearly explains done well known simple feature simple classifier prove obvious hypothesis intuitively obvious writing task greatly constraint style however proven clear manner controlled setting finding impressive particularly like section discussion implication design task think influential well cited great work good minor suggestion defining mean style early seem mean level easily computable lexical syntactic feature usage somewhat misleading anyone outside computational stylometrics chosen stylistic feature make sense however option feature tried work think short discussion choice feature informative,4
